subj,trial,soa_ms,catch_trial,detect_yn,confidence,rt_prime_ms,prime_shown,prime_congruent,prime_correct,threshold
Sevan,63,164.63246789892446,False,True,100,470.3325000591576,True,False,False,154.63246789892446
Sevan,64,174.63246789892446,False,True,80,464.31889990344644,True,True,True,154.63246789892446
Sevan,65,154.63246789892446,False,True,70,519.3476001732051,True,True,True,154.63246789892446
Sevan,66,189.63246789892446,False,True,100,372.2439999692142,True,False,False,154.63246789892446
Sevan,67,204.63246789892446,False,True,60,589.8020998574793,True,True,True,154.63246789892446
Sevan,68,119.63246789892446,False,True,50,402.90919970721006,True,True,True,154.63246789892446
Sevan,69,154.63246789892446,False,True,60,341.8765002861619,False,False,,154.63246789892446
Sevan,70,134.63246789892446,False,True,60,375.26070000603795,True,True,True,154.63246789892446
Sevan,71,119.63246789892446,False,True,60,412.3074999079108,True,True,True,154.63246789892446
Sevan,72,189.63246789892446,False,True,100,334.53769981861115,True,False,False,154.63246789892446
